market,symbol,as_of_date,roe,operating_margin,accruals,earnings_yield,book_to_price,sales_to_ev,revenue_growth,earnings_growth,relative_return_26w,relative_return_52w,beta_5y,volatility_1y,z_roe,z_operating_margin,z_accruals,quality,z_earnings_yield,z_book_to_price,z_sales_to_ev,value,z_revenue_growth,z_earnings_growth,growth,z_relative_return_26w,z_relative_return_52w,momentum,z_beta_5y,z_volatility_1y,low_risk,factor_count,core_factor_count,eligible_for_composite,composite_z,extended_composite_z,composite_percentile,composite_method
hk,0001.HK,,,,848480000000.0,4.25841597796143,2.023913936449393,47.1009532243368,,,17.9874643705549,34.6212431293616,0.597775051419531,,,,-3.6671538187952004,-3.6671538187952004,0.4003522740504176,-0.032710081547112156,-0.3244266861470878,0.014405168785405894,,,,0.6081655357179024,0.6432079387030758,0.6256867372104891,-0.13984547424197946,,-0.13984547424197946,4,3,True,0.1667488105846385,-0.7917268467603211,61.789334508594095,"equal_weight(value,momentum,low_risk)"
hk,0002.HK,,,,226727000000.0,5.66032786885246,0.5818764018854764,33.7793344732,,,12.8129444243476,13.6130495927359,0.283881356668184,,,,-3.6671538187952004,-3.6671538187952004,0.4240312594463618,-0.6251947740966733,-0.3821238361792415,-0.19442911694318435,,,,0.460754926956589,0.2629628537465925,0.36185889035159075,0.49318123978682044,,0.49318123978682044,4,3,True,0.22020367106507563,-0.7516357013999934,65.75583957690613,"equal_weight(value,momentum,low_risk)"
hk,0003.HK,,,,157007200000.0,4.68984615384615,0.4893355855953744,27.8694750936396,,,4.03476047956115,0.022314449146377,0.497510121884301,,,,-3.6671538187952004,-3.6671538187952004,0.4076393431597687,-0.6632166811370521,-0.40771997803417404,-0.2210991053371525,,,,0.21068391504210165,0.016972629490247155,0.11382827226617441,0.06235794665277382,,0.06235794665277382,4,3,True,-0.01497096213940142,-0.9280166763033512,47.37769942706038,"equal_weight(value,momentum,low_risk)"
hk,0004.HK,,,,178641000000.0,0.08624143384291,2.530638760015122,17.5476929583082,,,-17.69387383622,-16.9055535194691,0.502983230599848,,,,-3.6671538187952004,-3.6671538187952004,0.32988218192735175,0.17548609511368643,-0.4524245611322752,0.017647905302920985,,,,-0.40831673532527163,-0.2894191877136694,-0.3488679615194705,0.05132037538690433,,0.05132037538690433,4,3,True,-0.09329989360988174,-0.9867633749062115,41.25165271044513,"equal_weight(value,momentum,low_risk)"
hk,0005.HK,,,,,5.87501615265601,0.5014475634370931,14.0163894770649,,,14.3586992333107,36.2970262318284,1.35006545178689,,,,,,0.42765745077114864,-0.6582402770589934,-0.4677189597014412,-0.23276726199642864,,,,0.5047900567374666,0.6735393561595656,0.5891647064485162,-1.6569830533105883,,-1.6569830533105883,3,3,True,-0.43352853628616694,-0.43352853628616694,21.595416483032174,"equal_weight(value,momentum,low_risk)"
hk,0006.HK,,,,96184000000.0,4.95123519458545,0.720335165159817,0.608344908068206,,,5.6008999526509,12.5432184891438,0.22580332080396,,,,-2.2316835953450904,-2.2316835953450904,0.4120543333731635,-0.5683067279653373,-0.5257904278606084,-0.22734760748426072,,,,0.25529975874031696,0.2435990746493915,0.24944941669485424,0.6103067151153392,,0.6103067151153392,4,3,True,0.21080284144197758,-0.39981876775478936,65.13882767739092,"equal_weight(value,momentum,low_risk)"
hk,0007.HK,,,,2074657000.0,,,,,,7.82314111327067,-1.09838375196449,0.112977757341146,,,,0.36652293870172603,0.36652293870172603,,,,,,,,0.31860648587768386,-0.0033118362801698403,0.157647324798757,0.8378410584027699,,0.8378410584027699,3,2,False,,0.45400377396775093,,"equal_weight(value,momentum,low_risk)"
hk,0008.HK,,,,84574000000.0,-0.571853146853147,,38.2493848999044,,,6.52182734121396,1.01715884157638,0.363082947943774,,,,-1.9111502997265724,-1.9111502997265724,0.31876663888452356,,-0.3627636386733004,-0.02199849989438843,,,,0.2815349396622786,0.03497916060195486,0.15825705013211674,0.3334560719692415,,0.3334560719692415,4,3,True,0.1565715407356566,-0.36035891937990067,60.86381665932129,"equal_weight(value,momentum,low_risk)"
hk,0009.HK,,,,170000.0,,,,,,-10.5133400347828,-26.1509885489926,-0.02819030561046,,,,0.42330844894238273,0.42330844894238273,,,,,,,,-0.2037592362906277,-0.4567601455229085,-0.3302596909067681,1.1225334766014072,,1.1225334766014072,3,2,False,,0.4051940782123406,,"equal_weight(value,momentum,low_risk)"
hk,0010.HK,,,,229440000000.0,7.81180124223602,5.636634561888352,8.44160471480046,,,-10.3098645350732,-5.21928442896597,0.95384462784372,,,,-3.6671538187952004,-3.6671538187952004,0.46037070910730477,1.451635240766539,-0.4918638627221711,0.47338069571722424,,,,-0.19796267011791646,-0.0778995072901418,-0.13793108870402915,-0.8579279260350438,,-0.8579279260350438,4,3,True,-0.17415943967394956,-1.0474080344542622,35.874834728955484,"equal_weight(value,momentum,low_risk)"
hk,0011.HK,,,,-5383000000.0,,,,,,18.1325201489004,16.8731807602406,0.56599679541704,,,,0.42330844894238273,0.42330844894238273,,,,,,,,0.6122978534618758,0.3219707284882212,0.46713429097504855,-0.07575853872465946,,-0.07575853872465946,3,2,False,,0.27156140039759064,,"equal_weight(value,momentum,low_risk)"
hk,0012.HK,,,,516921000000.0,4.70858870967742,2.6859286604340595,8.6756968567738,,,-1.47195725856302,1.45391602217837,0.943757535683725,,,,-3.6671538187952004,-3.6671538187952004,0.4079559142001421,0.23928948906181252,-0.4908499882307073,0.052131805010415755,,,,0.05380972719621585,0.04288439866794197,0.04834706293207891,-0.8375853740471628,,-0.8375853740471628,4,3,True,-0.24570216870155606,-1.1010650812249672,31.732040546496254,"equal_weight(value,momentum,low_risk)"
hk,0013.HK,,,,1637274000.0,23.6399793657984,0.630168568546638,77.4179659283393,,,-19.6471529296954,-41.8568567000092,1.30290799138788,,,,0.3785983749151209,0.3785983749151209,0.7277164681863745,-0.6053531480425753,-0.19312092945289697,-0.023585869769699275,,,,-0.4639613290737214,-0.7410339532154597,-0.6024976411445906,-1.5618810085817958,,-1.5618810085817958,4,3,True,-0.7293215064986952,-0.4523415361452412,9.784045835169678,"equal_weight(value,momentum,low_risk)"
hk,0014.HK,,,,107193000000.0,1.7668202764977,3.6713502657538095,7.84340391835489,,,-7.77360162450943,14.3899825661241,0.848527637747509,,,,-2.5356242543859406,-2.5356242543859406,0.3582679900016829,0.6441660632600889,-0.49445472512010064,0.16932644271389038,,,,-0.12571015906150865,0.27702522155353626,0.0756575312460138,-0.6455360580657937,,-0.6455360580657937,4,3,True,-0.13351736136862985,-0.7340440846229576,38.65138827677391,"equal_weight(value,momentum,low_risk)"
hk,0016.HK,,,,799974000000.0,,,,,,4.96976207819615,26.4524087678937,0.689727953956593,,,,-3.6671538187952004,-3.6671538187952004,,,,,,,,0.23732003902662882,0.4953532880708583,0.36633666354874356,-0.3252861017912433,,-0.3252861017912433,3,2,False,,-1.2087010856792333,,"equal_weight(value,momentum,low_risk)"
hk,0017.HK,,,,394808600000.0,,,,,,-28.5684687128091,3.89206477431252,1.30810789923279,,,,-3.6671538187952004,-3.6671538187952004,,,,,,,,-0.718109849943684,0.08701451760346572,-0.31554766617010915,-1.5723676180019799,,-1.5723676180019799,3,2,False,,-1.8516897009890965,,"equal_weight(value,momentum,low_risk)"
