symbol,imed_pretax_roa_ratio_ttm,imed_net_trade_cycle_days_ttm,date
0005.HK,,1021.83494530941,20240920
0005.HK,0.602135414703358,,20260429
0005.HK,0.602267915117866,,20260430
0005.HK,0.604985743819598,,20260501
0005.HK,0.604985743819598,,20260504
0005.HK,0.604985743819598,,20260505
0005.HK,0.603626829468732,,20260506
0005.HK,0.60671887371238,,20260507
0005.HK,0.60671887371238,,20260508
0005.HK,0.605852308765989,,20260511
0005.HK,0.605852308765989,,20260512
0005.HK,,,20260513
0005.HK,0.62407896260795,,20260514
0005.HK,0.643117370377485,,20260515
0005.HK,0.628053491951262,,20260518
0005.HK,0.628053491951262,,20260519
0005.HK,0.628053491951262,,20260520
0005.HK,0.628053491951262,,20260521
0005.HK,0.628053491951262,,20260522
0005.HK,0.620713719745211,,20260525
0005.HK,0.615691622035724,,20260526
0005.HK,0.615691622035724,,20260527
0005.HK,0.610669524326236,,20260528
0005.HK,0.615691622035724,,20260529
0005.HK,0.620713719745211,,20260601
0005.HK,0.620713719745211,,20260602
0005.HK,0.620713719745211,,20260603
0005.HK,0.620713719745211,,20260604
0005.HK,0.620713719745211,,20260605
0005.HK,0.620713719745211,,20260608
0005.HK,0.620713719745211,,20260609
0005.HK,0.620713719745211,,20260610
0005.HK,0.620713719745211,,20260611
0005.HK,0.610669524326236,,20260612
0005.HK,0.610669524326236,,20260615
0005.HK,0.610669524326236,,20260616
0005.HK,0.610669524326236,,20260617
0005.HK,0.610669524326236,,20260618
0005.HK,0.610669524326236,,20260619
0005.HK,0.610669524326236,,20260622
0005.HK,0.610669524326236,,20260623
0005.HK,0.610669524326236,,20260624
0005.HK,0.610669524326236,,20260625
0005.HK,0.610669524326236,,20260626
0005.HK,0.610011591421986,,20260629
0005.HK,0.610669524326236,,20260630
0005.HK,0.610669524326236,,20260701
0005.HK,0.610669524326236,,20260702
0005.HK,0.610669524326236,,20260703
0005.HK,0.610669524326236,,20260706
0005.HK,0.610669524326236,,20260707
0005.HK,0.610669524326236,,20260708
0005.HK,0.615691622035724,,20260709
0005.HK,0.628053491951262,,20260710
0005.HK,0.628053491951262,,20260713
0005.HK,0.628053491951262,,20260714
0005.HK,0.628053491951262,,20260715
0005.HK,0.628053491951262,,20260716
0005.HK,0.635393264157312,,20260717
0005.HK,0.646031361551055,,20260720
0005.HK,0.635393264157312,,20260721
0005.HK,0.635393264157312,,20260722
0005.HK,0.635393264157312,,20260723
0005.HK,0.628053491951262,,20260724
0700.HK,,35.4993855855707,20240920
0700.HK,5.90249262312694,,20260429
0700.HK,5.89222713243385,,20260430
0700.HK,5.91523111661983,,20260501
0700.HK,5.89609002820295,,20260504
0700.HK,5.90249262312694,,20260505
0700.HK,5.88836423666476,,20260506
0700.HK,5.89609002820295,,20260507
0700.HK,5.89222713243385,,20260508
0700.HK,5.89222713243385,,20260511
0700.HK,,,20260512
0700.HK,,,20260513
0700.HK,5.23633695911538,,20260514
0700.HK,5.07468592343456,,20260515
0700.HK,6.09499334103056,,20260518
0700.HK,6.02958284859565,,20260519
0700.HK,5.98366524826777,,20260520
0700.HK,5.98366524826777,,20260521
0700.HK,6.07896625987078,,20260522
0700.HK,6.11102042219034,,20260525
0700.HK,6.12810715238042,,20260526
0700.HK,6.18921802008914,,20260527
0700.HK,6.24471867697393,,20260528
0700.HK,6.24471867697393,,20260529
0700.HK,6.23324215760779,,20260601
0700.HK,6.23324215760779,,20260602
0700.HK,6.1451938825705,,20260603
0700.HK,6.23324215760779,,20260604
0700.HK,6.25619519634007,,20260605
0700.HK,6.17279760716506,,20260608
0700.HK,6.17279760716506,,20260609
0700.HK,6.20301988238642,,20260610
0700.HK,6.20301988238642,,20260611
0700.HK,6.20301988238642,,20260612
0700.HK,6.15899574486778,,20260615
0700.HK,6.1451938825705,,20260616
0700.HK,6.17279760716506,,20260617
0700.HK,6.23324215760779,,20260618
0700.HK,6.23324215760779,,20260619
0700.HK,6.23324215760779,,20260622
0700.HK,6.24471867697393,,20260623
0700.HK,6.17279760716506,,20260624
0700.HK,6.17279760716506,,20260625
0700.HK,6.17279760716506,,20260626
0700.HK,6.17279760716506,,20260629
0700.HK,,,20260630
0700.HK,6.17279760716506,,20260701
0700.HK,6.24471867697393,,20260702
0700.HK,6.17279760716506,,20260703
0700.HK,6.17279760716506,,20260706
0700.HK,6.20301988238642,,20260707
0700.HK,6.20301988238642,,20260708
0700.HK,6.20301988238642,,20260709
0700.HK,6.20301988238642,,20260710
0700.HK,6.17279760716506,,20260713
0700.HK,6.15899574486778,,20260714
0700.HK,6.15899574486778,,20260715
0700.HK,6.1451938825705,,20260716
0700.HK,6.1451938825705,,20260717
0700.HK,6.1451938825705,,20260720
0700.HK,6.1451938825705,,20260721
0700.HK,6.17279760716506,,20260722
0700.HK,6.17279760716506,,20260723
0700.HK,6.23324215760779,,20260724
